identifier,titulo,url,bloco,orgao,esfera,uf,tipo,status_fonte,fonte_oficial,vigencia_inicio,vigencia_fim,sucessora_ref,validation_keyword,demand_types,observacao_curadoria
Lei 6.938/1981,Lei nº 6.938/1981 — arts. 9º-A e 9º-B sobre servidão ambiental,https://www.planalto.gov.br/ccivil_03/leis/l6938.htm,03,União,federal,,norma,Fonte oficial validada,,,,,6.938,defesa,macrotemas: Servidão ambiental
Resolução 369/2006,Resolução CONAMA nº 369/2006 — intervenção ou supressão de vegetação em APP,https://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=452,03,CONAMA,federal,,norma,Fonte oficial validada,,,,,369,defesa,macrotemas: Intervenção em APP
Lei 11.428/2006,Lei nº 11.428/2006 — Lei da Mata Atlântica,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11428.htm,03,União,federal,,norma,Fonte oficial validada,,,,,11.428,defesa,macrotemas: Bioma Mata Atlântica
Decreto 6.660/2008,Decreto nº 6.660/2008 — regulamenta a Lei nº 11.428/2006,https://www.planalto.gov.br/ccivil_03/_ato2007-2010/2008/decreto/d6660.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,6.660,defesa,macrotemas: Bioma Mata Atlântica — regulamentação
Lei 11.284/2006,Lei nº 11.284/2006 — gestão de florestas públicas e Serviço Florestal Brasileiro,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11284.htm,03,União,federal,,norma,Fonte oficial validada,,,,,11.284,defesa,macrotemas: Gestão de florestas públicas e exploração
Decreto 5.975/2006,Decreto nº 5.975/2006 — exploração de florestas e formações sucessoras; reposição florestal,https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/decreto/d5975.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,5.975,defesa,macrotemas: Exploração florestal e reposição florestal
Resolução 406/2009,Resolução CONAMA nº 406/2009 — parâmetros técnicos para PMFS na Amazônia Legal,https://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=586,03,CONAMA,federal,,norma,Fonte oficial validada,,,,,406,defesa,macrotemas: Manejo florestal na Amazônia
Resolução 411/2009,Resolução CONAMA nº 411/2009 — procedimentos para controle de produtos e subprodutos florestais de origem nativa,https://conama.mma.gov.br/?option=com_sisconama&task=arquivo.download&id=594,03,CONAMA,federal,,norma,Fonte errada (serve outro ato),,,,,411,defesa,"O id=594 do Sisconama devolve a MOÇÃO Nº 102/2009, não a Resolução CONAMA 411/2009. Mesmo defeito do portal já visto em abril (id=745 e id=489). Pedir o id correto."
Instrução Normativa 21/2014,Instrução Normativa Ibama nº 21/2014 — institui o Sinaflor,https://www.ibama.gov.br/component/legislacao/?view=legislacao&legislacao=133878,03,Ibama,federal,,norma,Fonte não acessível (403),,,,,21,defesa,"Portal do IBAMA responde 403 a cliente não-browser — mesmo caso da IN 10/2012, 21/2023 e Portaria 15/2026."
Sinaflor — Autorizações de Supressão de Vegetação,Sinaflor — Autorizações de Supressão de Vegetação,https://dadosabertos.ibama.gov.br/dataset/autorizacoes-de-supressao-de-vegetacao,03,Ibama,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Sinaflor / ASV
Instrução Normativa 16/2022,Instrução Normativa Ibama nº 16/2022 — DOF+ Rastreabilidade,https://www.gov.br/ibama/pt-br/assuntos/biodiversidade/flora-e-madeira/documento-de-origem-florestal-dof/dof-rastreabilidade,03,Ibama,federal,,norma,Fonte não é o texto da norma,,,,,16,defesa,"Página de conteúdo sobre o DOF+, não o texto da IN IBAMA 16/2022. Pedir o ato."
Instrução Normativa 11/2025,Instrução Normativa Ibama nº 11/2025 — migração de saldos para DOF+,https://www.gov.br/ibama/pt-br/assuntos/notas/2025/migracao-de-saldos-do-sistema-dof-legado-para-dof,03,Ibama,federal,,norma,Fonte não é o texto da norma,,,,,11,defesa,"Post de notícia (2.241 chars), não o texto da IN IBAMA 11/2025."
Instrução Normativa 14/2024,Instrução Normativa Ibama nº 14/2024 — PRAD,https://www.gov.br/ibama/pt-br/assuntos/notas/2024/ibama-publica-in-no14-2024-que-orienta-sobre-o-projeto-de-recuperacao-de-area-degradada-ou-area-alterada-prad,03,Ibama,federal,,norma,Fonte não é o texto da norma,,,,,14,defesa,Post de notícia sobre a IN. O TEXTO da IN IBAMA 14/2024 já está no corpus (ingerido de disco).
Decreto 8.972/2017,Decreto nº 8.972/2017 — Política Nacional de Recuperação da Vegetação Nativa (Proveg),https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/decreto/d8972.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,8.972,defesa,macrotemas: Recuperação da vegetação nativa
Plano Nacional de Recuperação da Vegetação Nativa — Planaveg,Plano Nacional de Recuperação da Vegetação Nativa — Planaveg 2025–2028,https://www.gov.br/mma/pt-br/composicao/sbio/dflo/plano-nacional-de-recuperacao-da-vegetacao-nativa-planaveg,03,MMA,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: Planaveg
WebAmbiente — apoio à adequação ambiental e PRADA,WebAmbiente — apoio à adequação ambiental e PRADA,https://www.webambiente.gov.br/,03,Embrapa,federal,,referencia_operacional,Fonte oficial validada,,,,,,defesa,macrotemas: PRADA / adequação ambiental
Decreto 11.815/2023,Decreto nº 11.815/2023 — Programa Nacional de Conversão de Pastagens Degradadas,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2023/decreto/d11815.htm,03,Presidência da República,federal,,norma,Fonte oficial validada,,,,,11.815,defesa,macrotemas: Conversão de pastagens degradadas
Lei 14.119/2021,Lei nº 14.119/2021 — Política Nacional de Pagamento por Serviços Ambientais,https://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/l14119.htm,03,União,federal,,norma,Fonte oficial validada,,,,,14.119,defesa,macrotemas: PSA e conservação em imóvel rural
Lei 15.042/2024,Lei nº 15.042/2024 — Sistema Brasileiro de Comércio de Emissões de Gases de Efeito Estufa,https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l15042.htm,03,União,federal,,norma,Fonte oficial validada,,,,,15.042,defesa,macrotemas: Carbono e ativos ambientais
Resolução 5.193/2024,Resolução CMN nº 5.193/2024 — ajustes no Manual de Crédito Rural,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?numero=5193&tipo=Resolu%C3%A7%C3%A3o%20CMN,03,Conselho Monetário Nacional,federal,,norma,Fonte não acessível (exige JavaScript),,,,,5.193,defesa,A página do BCB devolve 90 chars: 'Essa pagina depende do javascript'. Pedir PDF da Resolução CMN 5.193/2024.
